district_id,district_number,district_name
1494,0,Abroad
1419,01,Mtatsminda
1470,02,Vake
1469,03,Saburtalo
1468,04,Krtsanisi
1467,05,Isani
1466,06,Samgori
1465,07,Chughureti
1471,08,Didube
1464,09,Nadzaladevi
1462,10,Gldani
1461,11,Sagarejo
1460,12,Gurjaani
1459,13,Sighnaghi
1458,14,Dedoplistskaro
1457,15,Lagodekhi
1463,16,Kvareli
1472,17,Telavi
1473,18,Akhmeta
1474,19,Tianeti
1491,20,Rustavi
1489,21,Gardabani
1488,22,Marneuli
1487,23,Bolnisi
1486,24,Dmanisi
1485,25,Tsalka
1484,26,Tetritskaro
1483,27,Mtskheta
1482,28,Dusheti
1481,29,Kazbegi
1480,30,Kaspi
1479,32,Gori
1478,33,Kareli
1477,35,Khashuri
1476,36,Borjomi
1475,37,Akhaltsikhe
1456,38,Adigeni
1490,39,Aspindza
1455,40,Akhalkalaki
1453,41,Ninotsminda
1433,43,Oni
1432,44,Ambrolauri
1431,45,Tsageri
1430,46,Lentekhi
1429,47,Mestia
1428,48,Kharagauli
1434,49,Terjola
1427,50,Sachkhere
1425,51,Zestaphoni
1424,52,Baghdati
1423,53,Vani
1422,54,Samtredia
1421,55,Khoni
1420,56,Chiatura
1426,57,Tkibuli
1435,58,Tskaltubo
1436,59,Kutaisi
1437,60,Ozurgeti
1452,61,Lanchkhuti
1451,62,Chokhatauri
1450,63,Abasha
1449,64,Senaki
1448,65,Martvili
1447,66,Khoni
1446,67,Zugdidi
1445,68,Tsalenjikha
1444,69,Chkhorotsku
1443,70,Poti
1442,79,Batumi
1441,80,Keda
1440,81,Kobuleti
1439,82,Shuakhevi
1438,83,Khelvachauri
1454,84,Khulo
