division_alias,party_number,votes,percent
00.87.01,17,0,0.0
00.87.01,10,8,1.068
00.87.01,25,72,9.613
00.87.01,12,0,0.0
00.87.01,20,2,0.267
00.87.01,26,0,0.0
00.87.01,16,3,0.401
00.87.01,21,1,0.134
00.87.01,23,1,0.134
00.87.01,3,1,0.134
00.87.01,27,1,0.134
00.87.01,41,80,10.681
00.87.01,5,101,13.485
00.87.01,36,47,6.275
00.87.01,9,150,20.027
00.87.01,6,3,0.401
00.87.01,8,2,0.267
00.87.01,4,277,36.983
00.87.02,17,0,0.0
00.87.02,10,0,0.0
00.87.02,25,0,0.0
00.87.02,12,0,0.0
00.87.02,20,0,0.0
00.87.02,26,0,0.0
00.87.02,16,0,0.0
00.87.02,21,0,0.0
00.87.02,23,0,0.0
00.87.02,3,0,0.0
00.87.02,27,0,0.0
00.87.02,41,282,96.575
00.87.02,5,4,1.37
00.87.02,36,1,0.342
00.87.02,9,2,0.685
00.87.02,6,0,0.0
00.87.02,8,0,0.0
00.87.02,4,3,1.027
00.87.03,17,0,0.0
00.87.03,10,0,0.0
00.87.03,25,3,1.974
00.87.03,12,0,0.0
00.87.03,20,0,0.0
00.87.03,26,0,0.0
00.87.03,16,0,0.0
00.87.03,21,0,0.0
00.87.03,23,0,0.0
00.87.03,3,0,0.0
00.87.03,27,0,0.0
00.87.03,41,128,84.211
00.87.03,5,10,6.579
00.87.03,36,2,1.316
00.87.03,9,1,0.658
00.87.03,6,0,0.0
00.87.03,8,0,0.0
00.87.03,4,8,5.263
00.87.04,17,0,0.0
00.87.04,10,1,0.513
00.87.04,25,3,1.538
00.87.04,12,0,0.0
00.87.04,20,1,0.513
00.87.04,26,0,0.0
00.87.04,16,0,0.0
00.87.04,21,0,0.0
00.87.04,23,0,0.0
00.87.04,3,0,0.0
00.87.04,27,0,0.0
00.87.04,41,162,83.077
00.87.04,5,15,7.692
00.87.04,36,1,0.513
00.87.04,9,5,2.564
00.87.04,6,1,0.513
00.87.04,8,0,0.0
00.87.04,4,6,3.077
00.87.05,17,0,0.0
00.87.05,10,6,0.995
00.87.05,25,68,11.277
00.87.05,12,0,0.0
00.87.05,20,2,0.332
00.87.05,26,0,0.0
00.87.05,16,0,0.0
00.87.05,21,1,0.166
00.87.05,23,0,0.0
00.87.05,3,0,0.0
00.87.05,27,1,0.166
00.87.05,41,54,8.955
00.87.05,5,89,14.76
00.87.05,36,19,3.151
00.87.05,9,141,23.383
00.87.05,6,0,0.0
00.87.05,8,6,0.995
00.87.05,4,216,35.821
00.87.06,17,1,0.065
00.87.06,10,27,1.752
00.87.06,25,150,9.734
00.87.06,12,1,0.065
00.87.06,20,3,0.195
00.87.06,26,0,0.0
00.87.06,16,3,0.195
00.87.06,21,0,0.0
00.87.06,23,0,0.0
00.87.06,3,0,0.0
00.87.06,27,2,0.13
00.87.06,41,109,7.073
00.87.06,5,318,20.636
00.87.06,36,68,4.413
00.87.06,9,186,12.07
00.87.06,6,3,0.195
00.87.06,8,21,1.363
00.87.06,4,649,42.116
00.87.07,17,0,0.0
00.87.07,10,16,1.13
00.87.07,25,120,8.475
00.87.07,12,0,0.0
00.87.07,20,2,0.141
00.87.07,26,1,0.071
00.87.07,16,4,0.282
00.87.07,21,0,0.0
00.87.07,23,1,0.071
00.87.07,3,1,0.071
00.87.07,27,2,0.141
00.87.07,41,92,6.497
00.87.07,5,338,23.87
00.87.07,36,62,4.379
00.87.07,9,192,13.559
00.87.07,6,2,0.141
00.87.07,8,8,0.565
00.87.07,4,575,40.607
00.87.08,17,0,0.0
00.87.08,10,14,1.009
00.87.08,25,141,10.166
00.87.08,12,0,0.0
00.87.08,20,5,0.36
00.87.08,26,0,0.0
00.87.08,16,5,0.36
00.87.08,21,0,0.0
00.87.08,23,0,0.0
00.87.08,3,3,0.216
00.87.08,27,1,0.072
00.87.08,41,87,6.273
00.87.08,5,305,21.99
00.87.08,36,83,5.984
00.87.08,9,196,14.131
00.87.08,6,3,0.216
00.87.08,8,12,0.865
00.87.08,4,532,38.356
