party_number,party_name,party_color
23,| Chven,#47752b
10,| Georgian Labour Party,#292727
27,| Unity of Georgian,#065fc1
36,| Girchi,#386a29
16,| Change Georgia,#b4ac45
3,| The Party of Georgian Unity and Development,#86b5ba
26,| Left-Wing Alliance,#92864b
21,| Tribune,#f9395a
4,| Coalition for Changes Gvaramia Melia Girchi Droa,#bcca7a
41,| Georgian Dream,#14477e
6,| European Democrats,#bbabdc
12,| Our United Georgia,#0e2a52
17,| Sakartvelo,#c24d1b
9,"| Strong Georgia - Lelo, For People, For Liberty!",#d5c907
8,| Alliance of Patriots of Georgia,#5848d2
5,| Unity-National Movement,#e72727
20,| Free Georgia,#a90f49
25,| Gakharia for Georgia,#98ccd2
